experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,clfs,run,,epochs,test_I_xz_toagg,train_I_xz_toagg,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_DIQ_xz_toagg,train_d_DIQ_xz_toagg,train_H_zCx_toagg,test_H_zCx_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_DIQ_xzCy_toagg,train_acc_toagg,test_acc_toagg,train_loss_toagg,test_loss_toagg,train_loglike_toagg,test_loglike_toagg,train_H_Q_xCz_toagg,train_d_H_Q_xCz_toagg,train_H_Q_xCzy_toagg,train_h_acc_toagg,train_h_delta_acc_toagg,train_z_norm_toagg,test_z_norm_toagg,train_z_mean_norm_toagg,test_z_mean_norm_toagg,train_z_std_toagg,test_z_std_toagg
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,0,1,default,0,transformer,best,,,2.6987474181435327,0.9370920658111572,,0.004189957271922718,,,0.6231805980205536,2.384835958480835,,0.8883777777777778,0.498,,,-0.43198502118534654,-1.6527157412892477,,12.2336988882585,,,0.00725558483935743,0.9944329884919252,1.0013123631477356,4.5445470376448185,4.6011350631713865,0.2162061028859832,0.2198810786008835
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,0,1,default,1,transformer,best,,,2.5773752711035987,1.0676547527313232,,0.004518584771589799,,,0.7445527748628096,2.254273271560669,,0.8536666666666667,0.5121,,,-0.5161221227290739,-1.562997523581489,,12.233359987085516,,,0.005494389668047189,1.005119589242068,1.010088610649109,4.503890124234286,4.5652198791503915,0.1509187086061998,0.15367019772529605
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,0,1,default,2,transformer,best,,,2.6422310525720767,1.014704418182373,,0.0044778693806041365,,,0.679696952754801,2.307223606109619,,0.8699555555555556,0.5057,,,-0.4711287760550255,-1.5986851696302649,,12.233416644009678,,,0.006880772379289887,1.0042748207395726,0.9997418642044068,4.415432864969427,4.46490592956543,0.13323751295154745,0.13487887978553773
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10000.0,0,1024,0,1,default,0,transformer,best,,,0.7029970017346469,0.6994457721710206,,0.0024373314597389913,,,2.618931022557345,2.622482252120972,,0.36406666666666665,0.3672,,,-1.8153266248073845,-1.817632617522776,,12.23545148155906,,,0.005873124065865736,0.9920431104573336,0.9970924258232116,11.100772554224188,11.19124526977539,2.333840413527055,2.3571046352386475
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10000.0,0,1024,0,1,default,1,transformer,best,,,0.7488447644493796,0.7359925746917725,,0.0008305527947165749,,,2.5730832598426123,2.5859354496002203,,0.3737555555555556,0.3689,,,-1.7835311537639962,-1.792030284881592,,12.237048019062385,,,0.0026441214075050203,1.007878761399876,1.0434080362319946,9.361491723494096,9.60046443939209,1.6309032548557634,1.6837079763412477
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10000.0,0,1024,0,1,default,2,transformer,best,,,0.6803128936073997,0.6769974231719971,,0.0013458078557794745,,,2.6416151306845923,2.644930601119995,,0.36673333333333336,0.3708,,,-1.8310310254626805,-1.833442295217514,,12.236548640511252,,,0.004765042948783772,0.9449110329151154,0.9686312317848206,10.039713902906938,10.241351318359373,2.25719661062414,2.3159730434417725
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibexact,0,mlpl,128,1,0,128,1,0,0.001,0,1024,0,1,default,0,transformer,best,,,3.321927547454834,-2.176806640625,,,,,5.721714211920864e-07,5.498734664916992,12.237766525962137,1.0,0.5298,,,-3.9010325791571815e-07,-3.80951411252257,,,1.3126733351369197e-05,,0.0,1.004717433994467,0.979114592075348,0.5123332332481038,0.5070574164390564,0.006048930724236097,0.006047938112169504
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibexact,0,mlpl,128,1,0,128,1,0,0.001,0,1024,0,1,default,1,transformer,best,,,3.3219257701526987,-1.9332933425903318,,,,,2.278651178047849e-06,5.255221366882324,12.237703756852586,1.0,0.536,,,-1.57308754225672e-06,-3.6394911732694815,,,2.622147836849432e-05,,0.0,0.9944240315393968,0.9710416674613952,0.5102499452504244,0.5052890419960022,0.006116738098419525,0.006115168612450361
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibexact,0,mlpl,128,1,0,128,1,0,0.001,0,1024,0,1,default,2,transformer,best,,,3.3219241987575185,-1.7203610420227051,,,,,3.8150035483009886e-06,5.042289066314697,12.23788950660012,1.0,0.5367,,,-2.637841649447618e-06,-3.4946395537575183,,,5.4218394904058755e-05,,0.0,1.0059831115332516,0.98265198469162,0.5314717888832092,0.5265500903129577,0.0061961065300486316,0.006192466244101524
QminimalityConditionalFinal,cifar10,all,False,False,decay,adam,5e-05,last,0,cdibexact,0,mlpl,128,1,0,128,1,0,1.0,0,1024,0,1,default,0,transformer,best,,,3.3191730867732656,-1.165548038482666,,,,,0.0027549215592443947,4.487476062774658,0.05820486830039458,1.0,0.5137,,,-0.0019099001162693784,-3.1100431174017564,,,12.179574749686502,,0.0,1.0154930569908835,1.0187582492828369,2.661880688233809,2.685044813156128,0.012176324613392351,0.012318896874785424
