data,encoder,beta,run,test_I_xz_toagg,train_I_xz_toagg,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_H_zCx_toagg,test_H_zCx_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg,train_z_norm_toagg,test_z_norm_toagg,train_z_mean_norm_toagg,test_z_mean_norm_toagg,train_z_std_toagg,test_z_std_toagg
cifar10,mlp,0.001,2,8195.97412109375,9390.294167258522,3.321538870984858,-2.685754489898682,-1598.4793701171875,-1658.7280029296876,0.0003891670653088526,6.007682514190674,1.0,0.5294,-0.0002697013322318761,-4.163709373248127,8.710861986333674,7.011364555358886,1.9891330979087136,1.7483958959579469,0.5115500620820306,0.4473946511745453
cifar10,mlp,0.001,0,8250.215234375,9453.655539772728,3.321495522152294,-2.4765414237976078,-1531.1936090642755,-1582.5378662109374,0.0004325003484899009,5.7984694480896,1.0,0.5259,-0.0002997816567544523,-4.0179174633703285,8.886998219923539,7.18968620300293,2.011086675253781,1.774034595489502,0.5220236534422095,0.4590355455875397
cifar10,mlp,0.001,1,8461.3080078125,9710.26407137784,3.321624441580339,-2.773734188079834,-1514.6755260120738,-1573.7711181640625,0.00030358402132564646,6.095662212371826,1.0,0.5288,-0.00021043953082939054,-4.220941587178088,9.25704119422219,7.489240741729736,2.0607603029771284,1.8143072843551635,0.536739173260602,0.47246930003166204
cifar10,mlp,0.001,4,8339.678125,9582.410777698864,3.321621417999268,-2.6737653732299806,-1489.1694224964488,-1553.20205078125,0.00030661274186885833,5.995693397521973,1.0,0.537,-0.00021256785819286932,-4.154972395333208,9.118955222043123,7.350367450714113,2.02998365055431,1.790656566619873,0.5344742563637821,0.4669157266616821
cifar10,mlp,0.1,1,241.52315063476559,134.14649685946378,3.321096886288036,-1.4062530517578125,1969.380548650568,1884.3620849609372,0.0008311101410072298,4.728181076049805,1.0,0.5288,-0.0005761692133026987,-3.2772117785445114,1.0098795348947698,1.040220808982849,0.16869736936959354,0.13985317945480347,0.9418917217037894,0.9280073046684264
cifar10,mlp,0.1,0,257.70840454101557,134.60329229181463,3.320999654856595,-1.3433481216430665,1994.095869584517,1899.5547607421875,0.0009283596168229864,4.665276145935058,1.0,0.5359,-0.0006435106210296688,-3.227116180352785,1.0439584363590588,1.0827584981918337,0.17718587070703504,0.1480126738548279,0.9571795490655032,0.9415950655937196
cifar10,mlp,0.1,4,199.56043701171882,126.61237612637606,3.321095163171941,-1.4877646446228028,1977.840010209517,1913.3711669921875,0.0008328291031912985,4.809692668914795,1.0,0.5287,-0.0005773445346954479,-3.3310926629667463,1.0111883174289356,1.0228465080261229,0.17190817472609607,0.1419727087020874,0.944443637674505,0.9324343919754028
cifar10,mlp,0.1,2,219.26321105957032,123.51129219748758,3.320968974720348,-1.4806654930114749,2003.15283203125,1924.8310546875,0.000959045214007016,4.802593517303467,1.0,0.5205,-0.0006646921583560033,-3.3234642162393966,1.0412879369475625,1.065002202987671,0.1692758412523703,0.14069565236568451,0.9606266726147044,0.9466179251670838
cifar10,mlp,0.1,3,219.3420562744141,120.09446612271395,3.321173906326294,-1.24740571975708,1991.6350652521307,1916.129370117188,0.0007540869912852278,4.569333744049072,1.0,0.531,-0.0005227957145717512,-3.1674705275645123,1.0210381746292114,1.053234910964966,0.16202292794531042,0.1347693234682083,0.9525516520846974,0.9415328979492188
cifar10,mlp,0.01,4,994.0355712890623,970.3248818137426,3.3215636990287085,-2.3888689041137696,1368.510381525213,1256.6477783203125,0.00036432162795046514,5.710796928405761,1.0,0.5223,-0.0002525260637771584,-3.956780188504081,1.3285284638404846,1.2092769622802737,0.4626677510413257,0.3942317068576813,0.7838132598183372,0.7473831057548523
cifar10,mlp,0.01,0,1001.9792846679687,960.3613947088068,3.321406743743203,-2.16686372756958,1379.3557572798295,1271.6333251953124,0.0005212920633229343,5.488791751861572,1.0,0.5264,-0.0003613704251792968,-3.801449349322585,1.3296310143037275,1.2409177780151368,0.460298630324277,0.3891503095626831,0.7864752953702753,0.7579323410987854
cifar10,mlp,0.01,1,1004.4480346679687,968.496337890625,3.3216055306521333,-2.3149823188781737,1394.4174249822445,1279.4899658203126,0.0003224832074589689,5.636910343170166,1.0,0.5335,-0.00022347827586216969,-3.9063765271736814,1.3610281294042414,1.254284381866455,0.4705319485881112,0.3983893692493439,0.7962603135542436,0.7644926667213442
cifar10,mlp,0.01,3,995.602685546875,966.809151389382,3.321607405489141,-2.086703395843506,1383.5789295543325,1268.086572265625,0.0003206095405568538,5.408631420135498,1.0,0.5271,-0.00022229905654536265,-3.748802457259761,1.3440360101786526,1.2265565156936646,0.4712634113701907,0.4014450013637543,0.7893189598213542,0.7535097002983093
cifar10,mlp,0.01,2,982.4543090820313,958.6010409268466,3.3216111985119907,-2.2373294830322266,1405.5979836203835,1291.3382568359375,0.00031685176310764456,5.559257507324219,1.0,0.5259,-0.0002196209460047985,-3.854065864539602,1.3627900860526343,1.2407715559005736,0.4629310762340372,0.3892574191093445,0.8009558157487349,0.7650342106819152
cifar10,mlp,100.0,3,6.018326759338379,5.551441409371116,3.153780449520458,-3.8857958793640135,2092.172474254261,2095.488134765625,0.16814761066978628,7.207723903656006,0.9962,0.3412,-0.116541832544823,-4.994589810891036,1.0020494135943323,1.0072377920150757,0.03589204715734178,0.03257014974951744,0.9987518895756116,1.001213264465332
