experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,run,clf_nhid,clf_nlay,clf_kpru,epochs,train_loss_toagg,valid_loss_toagg,train_acc_toagg,valid_acc_toagg
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,58,-1.6076893121889322,14.418037449645997,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,59,-1.6073597946261415,14.430772283935546,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,60,-1.6081807026060502,14.440827146911621,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,61,-1.6115465044739223,14.432520382690429,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,62,-1.6098041694471152,14.405735958862305,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,63,-1.6066927597310283,14.47584638519287,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,64,-1.6096960226852115,14.398787693786621,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,65,-1.605790833718706,14.417405841064452,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,66,-1.605171788092887,14.447405899047851,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,67,-1.6095590573490257,14.468335174560547,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,68,-1.6103410742542532,14.40926499633789,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,69,-1.6065339144149628,14.453189712524415,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,70,-1.6078545685097723,14.441673483276368,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,71,-1.609139558017844,14.459890173339843,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,72,-1.6077056290843699,14.450084634399413,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,73,-1.6072677118471352,14.44633832397461,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,74,-1.610153409702943,14.396359912109375,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,75,-1.6056582445201306,14.440486360168457,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,76,-1.6077688813917708,14.443705372619629,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,77,-1.610857929900141,14.432812966918945,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,78,-1.6063456789337762,14.431867671203614,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,79,-1.6109490805333204,14.461063247680665,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,80,-1.6075914293704647,14.461768615722656,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,81,-1.6118253402898808,14.438021850585937,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,82,-1.6088623961363688,14.442251203918458,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,83,-1.6078188441531494,14.423839814758301,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,84,-1.6100793308786827,14.41996310119629,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,85,-1.6050169892830424,14.411241802978516,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,86,-1.6067727266915954,14.432233741760253,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,87,-1.6079495743477699,14.43782508544922,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,88,-1.6064058292502224,14.415876313781737,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,89,-1.6042935870897652,14.432681448364258,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,90,-1.6055089352390555,14.426759169006347,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,91,-1.6090225872190873,14.422308419799805,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,92,-1.606741498578893,14.416740153503419,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,93,-1.6045685944698824,14.439083149719238,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,94,-1.6065545944648214,14.400684539794922,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,95,-1.603047988580005,14.40943233795166,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,96,-1.605694513556981,14.41899928894043,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,97,-1.6074378273746754,14.42691614227295,1.0,
QminimalityDatasize,cifar10mnist,mini,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,98,-1.6070862428268584,14.433915396118165,1.0,
